행정구역,2023년11월_총인구수,2023년11월_세대수,2023년11월_세대당 인구,2023년11월_남자 인구수,2023년11월_여자 인구수,2023년11월_남여 비율
전국  (1000000000),"51,337,076","23,904,793",2.15,"25,572,695","25,764,381",0.99
서울특별시  (1100000000),"9,390,925","4,469,374",2.1,"4,543,055","4,847,870",0.94
부산광역시  (2600000000),"3,295,496","1,564,199",2.11,"1,606,680","1,688,816",0.95
대구광역시  (2700000000),"2,376,044","1,093,499",2.17,"1,167,480","1,208,564",0.97
인천광역시  (2800000000),"2,993,492","1,347,984",2.22,"1,497,231","1,496,261",1
광주광역시  (2900000000),"1,420,822","655,552",2.17,"701,645","719,177",0.98
대전광역시  (3000000000),"1,443,106","680,226",2.12,"719,805","723,301",1
울산광역시  (3100000000),"1,103,752","490,174",2.25,"567,145","536,607",1.06
세종특별자치시  (3600000000),"386,256","160,764",2.4,"192,396","193,860",0.99
경기도  (4100000000),"13,628,135","5,974,055",2.28,"6,855,041","6,773,094",1.01
강원특별자치도  (5100000000),"1,528,635","760,636",2.01,"768,910","759,725",1.01
충청북도  (4300000000),"1,594,038","779,978",2.04,"810,734","783,304",1.04
충청남도  (4400000000),"2,129,591","1,034,508",2.06,"1,091,095","1,038,496",1.05
전라북도  (4500000000),"1,756,183","861,263",2.04,"874,078","882,105",0.99
전라남도  (4600000000),"1,804,875","911,302",1.98,"909,744","895,131",1.02
경상북도  (4700000000),"2,556,262","1,282,673",1.99,"1,291,263","1,264,999",1.02
경상남도  (4800000000),"3,253,619","1,525,337",2.13,"1,638,128","1,615,491",1.01
제주특별자치도  (5000000000),"675,845","313,269",2.16,"338,265","337,580",1
